slug,title,project,status,url,note
mateusz-gawarkiewicz,Mateusz Gawarkiewicz,trener-mateusz-gawarkiewicz,deployed,https://trener-mateusz-gawarkiewicz.vercel.app,production:added; preview:added; development:added
kacper-wendrowski-trener-personalny-bydgoszcz,Kacper Wendrowski Trener Personalny Bydgoszcz,trener-kacper-wendrowski-trener-personalny-bydgoszcz,deployed,https://trener-kacper-wendrowski-trener-per.vercel.app,production:added; preview:added; development:added
fizjoterapia-trening-agnieszka-majewska,Fizjoterapia&Trening Agnieszka Majewska,trener-fizjoterapia-trening-agnieszka-majewska,deployed,https://trener-fizjoterapia-trening-agniesz.vercel.app,production:added; preview:added; development:added
trenerka-werka-weronika-szyczewska-tchorzewska,Trenerka Werka Weronika Szyczewska- Tchorzewska,trener-trenerka-werka-weronika-szyczewska-tchorzewska,deployed,https://trener-trenerka-werka-weronika-szyc.vercel.app,production:added; preview:added; development:added
maksymilian-papierowski-trener-personalny,Maksymilian Papierowski - Trener Personalny,trener-maksymilian-papierowski-trener-personalny,deployed,https://trener-maksymilian-papierowski-tren.vercel.app,production:added; preview:added; development:added
balance-motion-zuzanna-majewska,Balance & Motion Zuzanna Majewska,trener-balance-motion-zuzanna-majewska,deployed,https://trener-balance-motion-zuzanna-majew.vercel.app,production:added; preview:added; development:added
klinika-sportu-jacka-goralskiego,Klinika Sportu Jacka Góralskiego,trener-klinika-sportu-jacka-goralskiego,deployed,https://trener-klinika-sportu-jacka-goralsk.vercel.app,production:added; preview:added; development:added
kaja-narkun,Kaja Narkun,trener-kaja-narkun,deployed,https://trener-kaja-narkun.vercel.app,production:added; preview:added; development:added
mikolaj-karaszewski-fitness-lifestyle,Mikołaj Karaszewski Fitness&Lifestyle,trener-mikolaj-karaszewski-fitness-lifestyle,deployed,https://trener-mikolaj-karaszewski-fitness.vercel.app,production:added; preview:added; development:added
maciej-karolczyk-trener-personalny,Maciej Karolczyk Trener Personalny,trener-maciej-karolczyk-trener-personalny,deployed,https://trener-maciej-karolczyk-trener-pers.vercel.app,production:added; preview:added; development:added
