slug,title,project,status,url,note
anna-mikolajska-trener-personalny,Anna Mikołajska - Trener personalny,trener-anna-mikolajska-trener-personalny,deployed,https://trener-anna-mikolajska-trener-perso.vercel.app,production:added; preview:added; development:added
karol-siemianowski,Karol Siemianowski,trener-karol-siemianowski,deployed,https://trener-karol-siemianowski.vercel.app,production:added; preview:added; development:added
dawid-cichanski,Dawid Cichański,trener-dawid-cichanski,deployed,https://trener-dawid-cichanski.vercel.app,production:added; preview:added; development:added
mateusz-mazur,Mateusz Mazur,trener-mateusz-mazur,deployed,https://trener-mateusz-mazur.vercel.app,production:added; preview:added; development:added
marcin-osak-trener-personalny,Marcin Osak - trener personalny,trener-marcin-osak-trener-personalny,deployed,https://trener-marcin-osak-trener-personaln.vercel.app,production:added; preview:added; development:added
kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,Kamil Rzepka Body Practiz - trener personalny - trener osobisty,trener-kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,deployed,https://trener-kamil-rzepka-body-practiz-tr.vercel.app,production:added; preview:added; development:added
daria-michalowska-trener-personalny,Daria Michałowska - Trener personalny,trener-daria-michalowska-trener-personalny,deployed,https://trener-daria-michalowska-trener-per.vercel.app,production:added; preview:added; development:added
oskar-kaliszewski-trener-personalny,Oskar Kaliszewski - Trener Personalny,trener-oskar-kaliszewski-trener-personalny,deployed,https://trener-oskar-kaliszewski-trener-per.vercel.app,production:added; preview:added; development:added
patryk-kozikowski,Patryk Kozikowski,trener-patryk-kozikowski,deployed,https://trener-patryk-kozikowski.vercel.app,production:added; preview:added; development:added
forever-athlete-vincent-marek,Forever Athlete - Vincent Marek,trener-forever-athlete-vincent-marek,deployed,https://trener-forever-athlete-vincent-mare.vercel.app,production:added; preview:added; development:added
